mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_C,param_multi_class,param_penalty,param_solver,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,split5_test_score,split6_test_score,split7_test_score,split8_test_score,split9_test_score,split10_test_score,split11_test_score,split12_test_score,split13_test_score,split14_test_score,split15_test_score,split16_test_score,split17_test_score,split18_test_score,split19_test_score,split20_test_score,split21_test_score,split22_test_score,split23_test_score,split24_test_score,split25_test_score,split26_test_score,split27_test_score,split28_test_score,split29_test_score,split30_test_score,split31_test_score,split32_test_score,split33_test_score,split34_test_score,split35_test_score,split36_test_score,split37_test_score,split38_test_score,split39_test_score,split40_test_score,split41_test_score,split42_test_score,split43_test_score,split44_test_score,split45_test_score,split46_test_score,split47_test_score,split48_test_score,split49_test_score,mean_test_score,std_test_score,rank_test_score
0.13786519050598145,0.0025699686262760295,0.04375773906707764,0.0014175248822050875,10,multinomial,l2,lbfgs,"{'C': 10, 'multi_class': 'multinomial', 'penalty': 'l2', 'solver': 'lbfgs'}",0.9190506864924656,0.9254690928219723,0.9126104484590836,0.9344381097262908,0.9239455655608163,0.9349813005298137,0.9266488142611902,0.888317145496828,0.9250233074424984,0.926757738563223,0.929817070744456,0.9221827981178826,0.9168943575488475,0.9189032490826071,0.9172064905744263,0.9266467095941481,0.9123684463329603,0.9084874128727715,0.912250292515277,0.9404920369268795,0.9047979622202865,0.9302132339083345,0.9316892787945171,0.9225595274336421,0.9132271660963959,0.8899200745323398,0.9167442089488048,0.9303412727176047,0.9295643728836128,0.9186571913815009,0.9217675337974317,0.9196019604308288,0.9228097853577809,0.9191159600249671,0.910145180646452,0.9255638709336539,0.9282683944509782,0.9125486162355285,0.9341781145835822,0.9067779314154093,0.9260751697090813,0.9183735442670033,0.9271927321545874,0.9129771626179383,0.9200318779868103,0.9276109243077783,0.9256534348517755,0.9279004537138028,0.9162119203384543,0.9048973662379317,0.9203581459328651,0.010292063587837219,1
0.13885712146759033,0.0031670343234637805,0.04379069805145264,0.0015588634662761299,10,auto,l2,lbfgs,"{'C': 10, 'multi_class': 'auto', 'penalty': 'l2', 'solver': 'lbfgs'}",0.9190506864924656,0.9254690928219723,0.9126104484590836,0.9344381097262908,0.9239455655608163,0.9349813005298137,0.9266488142611902,0.888317145496828,0.9250233074424984,0.926757738563223,0.929817070744456,0.9221827981178826,0.9168943575488475,0.9189032490826071,0.9172064905744263,0.9266467095941481,0.9123684463329603,0.9084874128727715,0.912250292515277,0.9404920369268795,0.9047979622202865,0.9302132339083345,0.9316892787945171,0.9225595274336421,0.9132271660963959,0.8899200745323398,0.9167442089488048,0.9303412727176047,0.9295643728836128,0.9186571913815009,0.9217675337974317,0.9196019604308288,0.9228097853577809,0.9191159600249671,0.910145180646452,0.9255638709336539,0.9282683944509782,0.9125486162355285,0.9341781145835822,0.9067779314154093,0.9260751697090813,0.9183735442670033,0.9271927321545874,0.9129771626179383,0.9200318779868103,0.9276109243077783,0.9256534348517755,0.9279004537138028,0.9162119203384543,0.9048973662379317,0.9203581459328651,0.010292063587837219,1
0.39992336750030516,0.043862548099017094,0.044742374420166015,0.000547607774254464,10,auto,l2,newton-cg,"{'C': 10, 'multi_class': 'auto', 'penalty': 'l2', 'solver': 'newton-cg'}",0.919776201723995,0.9249648524420687,0.9137188672246891,0.9340923028956083,0.9248240395839277,0.9310291456057788,0.9265557220423001,0.8885759890529906,0.925482940583727,0.9268332431357921,0.9294631085370327,0.9223511563695811,0.9174927542052757,0.9187199214686692,0.9176344801378927,0.9274019760572383,0.9122106124077854,0.9086921920124563,0.9124250378411635,0.9402738991106201,0.9049550220458088,0.9295880848102636,0.9324025871661971,0.921793193088493,0.9144110638815678,0.8905016924090489,0.9165909908157328,0.9268244481886335,0.9300280326970229,0.9184212043449227,0.9176031641046039,0.920092971688614,0.9234344688182973,0.919052682655245,0.9107612825578535,0.9257642782836553,0.9278393312428883,0.9122806986015438,0.9343301085146453,0.9070667151399686,0.9263416659011251,0.9182801624414947,0.9274319657386463,0.9126890706039098,0.9198335676423945,0.9277498479969754,0.9258418824304718,0.9277213473112984,0.9171829222926683,0.901699195389008,0.9202206418248318,0.010148856440440928,3
0.3990703248977661,0.0434521418268007,0.04465827465057373,0.000603352683340865,10,multinomial,l2,newton-cg,"{'C': 10, 'multi_class': 'multinomial', 'penalty': 'l2', 'solver': 'newton-cg'}",0.919776201723995,0.9249648524420687,0.9137188672246891,0.9340923028956083,0.9248240395839277,0.9310291456057788,0.9265557220423001,0.8885759890529906,0.925482940583727,0.9268332431357921,0.9294631085370327,0.9223511563695811,0.9174927542052757,0.9187199214686692,0.9176344801378927,0.9274019760572383,0.9122106124077854,0.9086921920124563,0.9124250378411635,0.9402738991106201,0.9049550220458088,0.9295880848102636,0.9324025871661971,0.921793193088493,0.9144110638815678,0.8905016924090489,0.9165909908157328,0.9268244481886335,0.9300280326970229,0.9184212043449227,0.9176031641046039,0.920092971688614,0.9234344688182973,0.919052682655245,0.9107612825578535,0.9257642782836553,0.9278393312428883,0.9122806986015438,0.9343301085146453,0.9070667151399686,0.9263416659011251,0.9182801624414947,0.9274319657386463,0.9126890706039098,0.9198335676423945,0.9277498479969754,0.9258418824304718,0.9277213473112984,0.9171829222926683,0.901699195389008,0.9202206418248318,0.010148856440440928,3
0.1388646125793457,0.0028728850441761106,0.0435816478729248,0.0015302959418013315,100,multinomial,l2,lbfgs,"{'C': 100, 'multi_class': 'multinomial', 'penalty': 'l2', 'solver': 'lbfgs'}",0.9185199209803575,0.925523064324063,0.9117744001530235,0.9353141242271573,0.9253409278351231,0.9297314358980094,0.9252645783321153,0.8849579033149352,0.9248995894004929,0.9281086115457158,0.9292716370676155,0.9217646233024657,0.9155304119601745,0.9169176710180446,0.9177327275343576,0.9262776451971705,0.9135454565480137,0.9072819991447169,0.911658361840379,0.9393953874419184,0.9034806473608826,0.9270181062599289,0.9319690177451521,0.9222056801359614,0.9116946391254633,0.8894638160248859,0.9150409171607766,0.9246304769524042,0.9290607130398678,0.9185776537625406,0.9185595360012749,0.9197833037610899,0.924108468797451,0.9178023141221311,0.9112103675467251,0.9247125577938072,0.9257068112443624,0.9122721972662045,0.9344095608608752,0.9072257569734871,0.9235367017808457,0.9177075185263045,0.9253947956471054,0.9117027192087277,0.9215873386754788,0.9266522878890066,0.9249355637195683,0.9279090411259516,0.9146386473184792,0.9035243483986205,0.9195066396258241,0.010335837128701966,5
0.1383279275894165,0.0027062252475373266,0.04346559524536133,0.0014143676419946527,100,auto,l2,lbfgs,"{'C': 100, 'multi_class': 'auto', 'penalty': 'l2', 'solver': 'lbfgs'}",0.9185199209803575,0.925523064324063,0.9117744001530235,0.9353141242271573,0.9253409278351231,0.9297314358980094,0.9252645783321153,0.8849579033149352,0.9248995894004929,0.9281086115457158,0.9292716370676155,0.9217646233024657,0.9155304119601745,0.9169176710180446,0.9177327275343576,0.9262776451971705,0.9135454565480137,0.9072819991447169,0.911658361840379,0.9393953874419184,0.9034806473608826,0.9270181062599289,0.9319690177451521,0.9222056801359614,0.9116946391254633,0.8894638160248859,0.9150409171607766,0.9246304769524042,0.9290607130398678,0.9185776537625406,0.9185595360012749,0.9197833037610899,0.924108468797451,0.9178023141221311,0.9112103675467251,0.9247125577938072,0.9257068112443624,0.9122721972662045,0.9344095608608752,0.9072257569734871,0.9235367017808457,0.9177075185263045,0.9253947956471054,0.9117027192087277,0.9215873386754788,0.9266522878890066,0.9249355637195683,0.9279090411259516,0.9146386473184792,0.9035243483986205,0.9195066396258241,0.010335837128701966,5
0.13845502376556396,0.0030249098570746683,0.043691306114196776,0.0015242621632688886,150,multinomial,l2,lbfgs,"{'C': 150, 'multi_class': 'multinomial', 'penalty': 'l2', 'solver': 'lbfgs'}",0.9182120475443561,0.9255965152441806,0.9117731036177571,0.9349079538136041,0.9256849189387687,0.929380903869122,0.9251609863730007,0.8849847835044597,0.924787559055845,0.9278996307768993,0.929232139743053,0.9215049093124272,0.9159155714615196,0.9169217979616909,0.9174044071750521,0.9261419226911706,0.9136037231583592,0.9073715456652081,0.911523086147017,0.9394151956062601,0.9035786622088314,0.9270359491291127,0.9325761332573514,0.922351239348655,0.9120080805499816,0.8896716352824464,0.9152074724581268,0.9249597561469166,0.9287324136363792,0.9190393242134456,0.9176932125067534,0.9190667064284707,0.9240757190080796,0.9176434636935702,0.9109452971913825,0.9241077489684592,0.9255308469232709,0.9118647860026498,0.9341428411472409,0.9072410348626666,0.922395970743581,0.9175669647696062,0.9253091266639427,0.9118975526429794,0.9212932033798515,0.9261900209544157,0.9253850534161848,0.9279839549519928,0.9138975429252532,0.9036186222061069,0.9194086607455492,0.010290305016782604,7
0.13825326442718505,0.0026979825439610574,0.04347574234008789,0.0018459299499510506,150,auto,l2,lbfgs,"{'C': 150, 'multi_class': 'auto', 'penalty': 'l2', 'solver': 'lbfgs'}",0.9182120475443561,0.9255965152441806,0.9117731036177571,0.9349079538136041,0.9256849189387687,0.929380903869122,0.9251609863730007,0.8849847835044597,0.924787559055845,0.9278996307768993,0.929232139743053,0.9215049093124272,0.9159155714615196,0.9169217979616909,0.9174044071750521,0.9261419226911706,0.9136037231583592,0.9073715456652081,0.911523086147017,0.9394151956062601,0.9035786622088314,0.9270359491291127,0.9325761332573514,0.922351239348655,0.9120080805499816,0.8896716352824464,0.9152074724581268,0.9249597561469166,0.9287324136363792,0.9190393242134456,0.9176932125067534,0.9190667064284707,0.9240757190080796,0.9176434636935702,0.9109452971913825,0.9241077489684592,0.9255308469232709,0.9118647860026498,0.9341428411472409,0.9072410348626666,0.922395970743581,0.9175669647696062,0.9253091266639427,0.9118975526429794,0.9212932033798515,0.9261900209544157,0.9253850534161848,0.9279839549519928,0.9138975429252532,0.9036186222061069,0.9194086607455492,0.010290305016782604,7
0.13879319667816162,0.0028057015168997243,0.043729209899902345,0.001569487189682291,150,multinomial,none,lbfgs,"{'C': 150, 'multi_class': 'multinomial', 'penalty': 'none', 'solver': 'lbfgs'}",0.9179594248859025,0.9252428625567409,0.9119598380164885,0.9359228637007662,0.9253213527341453,0.9293100218588979,0.9245028560111866,0.8847007703196227,0.9246826176304435,0.9279614861167684,0.9290402133692393,0.9212849760323133,0.9155686184151074,0.9169694311232374,0.9175000200668769,0.9257001670076423,0.9139112270128074,0.9070803532826969,0.9104770198329938,0.9393166830749738,0.9032484222260044,0.9253166608268915,0.9322786756015559,0.9220260455851745,0.9106577518128548,0.8899753032729577,0.914606888081389,0.9242654488471321,0.9287660713270065,0.9189401893181541,0.9176699298481292,0.9190126411352865,0.9235030730405157,0.9173490462719606,0.911225974309719,0.9244390918468791,0.9254641681320389,0.9119368365344572,0.9343246128931124,0.907210906838384,0.9213995222272545,0.9169323109382174,0.9249827831194657,0.912478758535587,0.920839181406111,0.9264171302063757,0.924954120394785,0.9275184493545972,0.9135676899047899,0.9018424443319796,0.9191512586243524,0.010343843881384278,9
0.13944404125213622,0.003458429324996362,0.04451782703399658,0.001838263530123055,0.1,multinomial,none,lbfgs,"{'C': 0.1, 'multi_class': 'multinomial', 'penalty': 'none', 'solver': 'lbfgs'}",0.9179594248859025,0.9252428625567409,0.9119598380164885,0.9359228637007662,0.9253213527341453,0.9293100218588979,0.9245028560111866,0.8847007703196227,0.9246826176304435,0.9279614861167684,0.9290402133692393,0.9212849760323133,0.9155686184151074,0.9169694311232374,0.9175000200668769,0.9257001670076423,0.9139112270128074,0.9070803532826969,0.9104770198329938,0.9393166830749738,0.9032484222260044,0.9253166608268915,0.9322786756015559,0.9220260455851745,0.9106577518128548,0.8899753032729577,0.914606888081389,0.9242654488471321,0.9287660713270065,0.9189401893181541,0.9176699298481292,0.9190126411352865,0.9235030730405157,0.9173490462719606,0.911225974309719,0.9244390918468791,0.9254641681320389,0.9119368365344572,0.9343246128931124,0.907210906838384,0.9213995222272545,0.9169323109382174,0.9249827831194657,0.912478758535587,0.920839181406111,0.9264171302063757,0.924954120394785,0.9275184493545972,0.9135676899047899,0.9018424443319796,0.9191512586243524,0.010343843881384278,9
