mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_var_smoothing,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,split5_test_score,split6_test_score,split7_test_score,split8_test_score,split9_test_score,split10_test_score,split11_test_score,split12_test_score,split13_test_score,split14_test_score,split15_test_score,split16_test_score,split17_test_score,split18_test_score,split19_test_score,split20_test_score,split21_test_score,split22_test_score,split23_test_score,split24_test_score,split25_test_score,split26_test_score,split27_test_score,split28_test_score,split29_test_score,split30_test_score,split31_test_score,split32_test_score,split33_test_score,split34_test_score,split35_test_score,split36_test_score,split37_test_score,split38_test_score,split39_test_score,split40_test_score,split41_test_score,split42_test_score,split43_test_score,split44_test_score,split45_test_score,split46_test_score,split47_test_score,split48_test_score,split49_test_score,mean_test_score,std_test_score,rank_test_score
0.003305063247680664,4.389169252158687e-05,0.044640088081359865,0.0005482199052690927,6.579332246575683e-06,{'var_smoothing': 6.579332246575683e-06},0.8998510430237365,0.9069802920280985,0.8727944424760048,0.906235550370119,0.9063216302677758,0.8854567413129902,0.8806738599203312,0.9057839510444642,0.9100794114336827,0.9198077266914519,0.8953827350501008,0.8972272027587906,0.9037741327206982,0.9003506520823895,0.9093480078089428,0.8957753704175729,0.9070412042490097,0.8955921323097384,0.8918855628826391,0.9022545059331682,0.8784831143549066,0.903384679268424,0.9023710479823784,0.9086378089238916,0.9137751797376583,0.9057150962619759,0.8958839514365536,0.9036493740117618,0.8862474253897861,0.9005391889615645,0.8846097493041879,0.8822987490717197,0.9116968334881728,0.9123620809304591,0.9056956597588076,0.882210556724865,0.8773989579040921,0.9198945076816886,0.9043737329435348,0.9109351885829825,0.9147057252288007,0.8808886825423454,0.899620318196003,0.9022958881079375,0.907334289189604,0.9211345842640047,0.8604822880195822,0.9030606381185734,0.8934432556093698,0.9123368895748983,0.8995616319270446,0.01291778927164175,42
0.0032961320877075194,0.00012362351168941147,0.04437929630279541,0.00044944923160212744,1.232846739442066e-06,{'var_smoothing': 1.232846739442066e-06},0.8993754629097136,0.9069518885169313,0.8729424941480551,0.9064301477613008,0.9062761645737626,0.8848819177228077,0.8807184232001886,0.9063602455785508,0.9102024389217739,0.9199561091276572,0.8951427930945476,0.8972699781882295,0.9039645144882757,0.9003371203212684,0.9090429623608275,0.8962873667672883,0.9061082575942954,0.8957165949266287,0.8918769649348176,0.902135553340961,0.8784908842126984,0.90296195728245,0.9023772753812066,0.9085897356319236,0.9141444399185722,0.9052930792477863,0.89635278050558,0.9036905093470148,0.8863190867137752,0.8998699885511844,0.8846347259726749,0.8820285066210644,0.9119698388960152,0.9122343611111122,0.9056739504113804,0.8822609815966236,0.8774246674886252,0.9208532730323845,0.904555453162471,0.9108935138241298,0.9144850157260039,0.8808479854209729,0.8996898354622362,0.902272259961737,0.907472994164436,0.9213403835913426,0.8603210970108017,0.9029999934197125,0.8940036292259584,0.9119657279685454,0.899559906586766,0.012957761154298806,43
0.003282151222229004,6.40155369563308e-05,0.04438213348388672,0.00058184398534954,4.328761281083053e-06,{'var_smoothing': 4.328761281083053e-06},0.8995716435821706,0.9069368799831534,0.8727643970071921,0.9063456837153879,0.9063276244797646,0.8854582834539922,0.8806738599203312,0.9059908832030193,0.9100734122736415,0.9198901535286693,0.8952529476471017,0.8972337040330403,0.9038633206590415,0.9003680910889721,0.9092778755286727,0.8958956278338027,0.9068034466957947,0.8956280518499683,0.8918855628826391,0.9023423561992909,0.8784917672413486,0.9033625523011728,0.9024247173233397,0.9086313766733342,0.9139006510354034,0.9054504815685483,0.8960098498566632,0.9036532191733082,0.8862964090526996,0.9002448639434731,0.8845196153993066,0.882098333918611,0.9118284742627943,0.9123703687519146,0.9057328885007613,0.8822936132005915,0.877390450644564,0.9201723177330275,0.9044517503374948,0.9108935138241298,0.9145661616901366,0.8808780328174395,0.8996182270564744,0.9022958881079375,0.9073658792522771,0.9211971346620741,0.8603615781762424,0.9030191165757456,0.8936588304859834,0.9122133488658069,0.8995595043599649,0.012938640186995788,44
0.003321352005004883,6.990306795867035e-05,0.04449331283569336,0.0006266405206229351,8.111308307896873e-06,{'var_smoothing': 8.111308307896873e-06},0.8999457237980312,0.9070055618434224,0.8726835063186424,0.9062011067058444,0.9063476622741277,0.8854476026871029,0.8806738599203312,0.9056323665641693,0.91008584368424,0.9197287058511182,0.8953752794794462,0.8972036869654844,0.903789141254476,0.9003059546593373,0.9093480078089428,0.8957044554060752,0.9073113953151238,0.8955921323097384,0.8918855628826391,0.9023166230956933,0.8784746070953785,0.9032805700744571,0.9023475321890726,0.908635617290133,0.9137177380604847,0.9057510158022057,0.8958464408922023,0.9036493740117618,0.8862652715503905,0.9005824021405795,0.884717943628836,0.8823532023717445,0.9116306449171269,0.9123573760504144,0.9056702442999747,0.8821502598665122,0.8774074651636202,0.919787295372063,0.904271997045103,0.9109351885829825,0.9147840142576609,0.8808971898018735,0.8995392113002475,0.9022864135066123,0.9074513784866692,0.9211001407040306,0.86064742466268,0.9031128607121562,0.8933189063737661,0.9123747729946681,0.899558573560588,0.012907386908542488,45
0.003293275833129883,0.00017659506269840754,0.044550414085388186,0.0006068617106979768,1e-06,{'var_smoothing': 1e-06},0.8991615651772773,0.9069518885169313,0.8729510014075834,0.9064301477613008,0.9062761645737626,0.8848627847221039,0.8807184232001886,0.9063924051114843,0.9102024389217739,0.9199474774623932,0.8951810697924701,0.8972849867220073,0.9039645144882757,0.9003371203212684,0.9090149818316567,0.8963789171124716,0.9059464898575028,0.8957165949266287,0.8918769649348176,0.902135553340961,0.8784908842126984,0.9029598044873417,0.9023413558409766,0.9085897356319236,0.9141358082533082,0.9052930792477863,0.8964281111450579,0.9036995149353474,0.8863190867137752,0.8998347458160709,0.8846262187131466,0.8818492485886783,0.911984847429793,0.9122629968532968,0.9056739504113804,0.8822609815966236,0.8774246674886252,0.9209243187411073,0.90457048336085,0.9108935138241298,0.9144850157260039,0.8808479854209729,0.8996813282027083,0.902272259961737,0.9075129279359228,0.9213488908508709,0.8603210970108017,0.9029999934197125,0.8940117940832638,0.9119997151505226,0.8995555170247458,0.012964255743206804,46
0.00326995849609375,0.00017790609055624675,0.044609289169311526,0.0012661683023062948,0.0003511191734215131,{'var_smoothing': 0.0003511191734215131},0.9021510959454008,0.9067495858182971,0.8735848116198446,0.9069390033629546,0.907362073069037,0.8845361422152993,0.8811544263714443,0.9047021448986459,0.9096599782575053,0.9187695468263931,0.8968255190984386,0.8957180525613081,0.9032108052138225,0.8992985872514937,0.9100375756549531,0.8974147600778127,0.908114294093978,0.8957062403354441,0.892528892802903,0.901403690674452,0.8787292002772032,0.9019956670072381,0.9024553318590702,0.9096634787544211,0.9135508686908955,0.9053439975302836,0.894594893378228,0.9028402199647158,0.8879788420688554,0.9022622014875159,0.8855494162416853,0.8837159768712199,0.909732311185691,0.912460976226996,0.9055086684577698,0.8809575415488956,0.8788082816658549,0.9186823307532158,0.9031678807359228,0.9105930573411358,0.915133204316636,0.879470221167214,0.9001282695059776,0.902070585462551,0.9069368266855973,0.9193935477312164,0.8620503758609851,0.903917849849206,0.8922620313578631,0.9119099617220935,0.8995546248371117,0.01258539695020179,47
0.0033182573318481447,6.87908509432367e-05,0.044377493858337405,0.000536960322069001,8.111308307896872e-07,{'var_smoothing': 8.111308307896872e-07},0.8990516075860261,0.9069518885169313,0.8729510014075834,0.9064819473864398,0.9062875707028614,0.8847248655047442,0.8807184232001886,0.9064664480359507,0.9102024389217739,0.9199186102422415,0.8951987796737949,0.8972934939815352,0.9039645144882757,0.9003285223734468,0.9090149818316567,0.8964083167203971,0.9058194318664322,0.8957165949266287,0.8918769649348176,0.9021534332190081,0.8784908842126984,0.9029132253308285,0.9022989863523465,0.9085897356319236,0.9141358082533082,0.9053020848361188,0.8965283052298689,0.9036995149353474,0.8863190867137752,0.8998232059077932,0.8846262187131466,0.8817837891421859,0.9119998559635709,0.9122204454409407,0.9056739504113804,0.8822609815966236,0.8774161602290972,0.9209488311920223,0.9045708905148718,0.9108935138241298,0.914449096185774,0.8808394781614447,0.8997069013071419,0.902272259961737,0.90743087226322,0.921357398110399,0.8603210970108017,0.9029999934197125,0.8940622734919123,0.9119910834852586,0.8995491152670023,0.012966184533231636,48
0.003350691795349121,0.00011734999945703546,0.044463763236999514,0.0005340407790569438,6.579332246575682e-07,{'var_smoothing': 6.579332246575682e-07},0.8990413669471334,0.9069518885169313,0.8729510014075834,0.9065235884278503,0.9062875707028614,0.8845904437215751,0.8807184232001886,0.9064579407764225,0.9102224767161365,0.9199186102422415,0.8951496298771007,0.8973020012410635,0.9039645144882757,0.9003285223734468,0.9090149818316567,0.8964228888260425,0.9055271153737222,0.8957525144668587,0.891928931294562,0.902128077702295,0.8784908842126984,0.9027722437046531,0.9022989863523465,0.9085983335797455,0.9141358082533082,0.9053020848361188,0.8965368124893972,0.9036995149353474,0.8863190867137752,0.8996266963716871,0.8846262187131466,0.8815428442269492,0.9120084997031984,0.9122204454409407,0.9056739504113804,0.882183540513566,0.8774161602290972,0.9209973601053775,0.9045859207132508,0.9108935138241298,0.914449096185774,0.8808566291606005,0.8997069013071419,0.902272259961737,0.9075139497794193,0.9213906569439452,0.8603210970108017,0.9029477708261296,0.8940794693875554,0.9119549383869655,0.8995320832482827,0.01297693528352004,49
0.0033012342453002928,4.26853930741655e-05,0.04441180229187012,0.0006642291037345736,1e-05,{'var_smoothing': 1e-05},0.9000092187977083,0.9069965562550898,0.8725697983141419,0.9061607209907526,0.9063562939393917,0.8854990176747771,0.880698675579655,0.9054696993943226,0.9100206245170107,0.9196712042318248,0.895424381759358,0.8971886784317066,0.9037611301721985,0.9002758942625794,0.9094447094338537,0.8955777977216766,0.9071688938099385,0.8955921323097384,0.8918941608304607,0.9022587618236805,0.8784746070953785,0.9032175363832722,0.9022761813846377,0.908635617290133,0.9134447505386375,0.90581874026041,0.8957749022818189,0.9036306054706876,0.8862560233376077,0.900660522354601,0.8847791062706922,0.8823766292765441,0.9114069486474468,0.9123115444125868,0.9056848701772277,0.8821033015120202,0.8774161089032478,0.9196368533871265,0.9041003038503496,0.9109498144602354,0.9148243264351633,0.8807786421571452,0.8994496997966627,0.9022771652938295,0.9073936518016804,0.9210397608436102,0.8608253196676606,0.9031298752312126,0.893173247441894,0.91236439056711,0.8995249879356099,0.012880470019567805,50
0.003308224678039551,6.899722048311851e-05,0.04429590225219727,0.0008192145702440115,5.336699231206313e-07,{'var_smoothing': 5.336699231206313e-07},0.8989801471494195,0.9069518885169313,0.8729510014075834,0.9065414345884548,0.9062875707028614,0.8845658484654346,0.8807184232001886,0.9064579407764225,0.9102052808204935,0.9198824651439484,0.895073162020068,0.8973020012410635,0.9039645144882757,0.9003285223734468,0.9089711491564879,0.8964313960855708,0.905374541031211,0.8957525144668587,0.891928931294562,0.902128077702295,0.8784908842126984,0.9026924867609036,0.9022989863523465,0.9085983335797455,0.9141358082533082,0.9053020848361188,0.8965368124893972,0.9036995149353474,0.886327684661597,0.8994598812085165,0.8846262187131466,0.8814501802095105,0.9120150009774481,0.9122204454409407,0.9056739504113804,0.882183540513566,0.8774161602290972,0.9210610152145992,0.9045949258150943,0.9108935138241298,0.9144131766455441,0.8808566291606005,0.8997089072924204,0.902272259961737,0.9076319384910289,0.9213906569439452,0.8603210970108017,0.9029477708261296,0.8940862828556405,0.9119463067217014,0.8995209853036005,0.01297949462630075,51
