mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_algorithm,param_learning_rate,param_n_estimators,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,split5_test_score,split6_test_score,split7_test_score,split8_test_score,split9_test_score,split10_test_score,split11_test_score,split12_test_score,split13_test_score,split14_test_score,split15_test_score,split16_test_score,split17_test_score,split18_test_score,split19_test_score,split20_test_score,split21_test_score,split22_test_score,split23_test_score,split24_test_score,split25_test_score,split26_test_score,split27_test_score,split28_test_score,split29_test_score,split30_test_score,split31_test_score,split32_test_score,split33_test_score,split34_test_score,split35_test_score,split36_test_score,split37_test_score,split38_test_score,split39_test_score,split40_test_score,split41_test_score,split42_test_score,split43_test_score,split44_test_score,split45_test_score,split46_test_score,split47_test_score,split48_test_score,split49_test_score,mean_test_score,std_test_score,rank_test_score
0.7627617454528809,0.0057508768824453965,0.07294056892395019,0.0020674070164589144,SAMME,0.3,150,"{'algorithm': 'SAMME', 'learning_rate': 0.3, 'n_estimators': 150}",0.8860343429245887,0.8806761460848814,0.8581835431467001,0.8582684471948837,0.8563482599988514,0.8803267740711601,0.8477851615541298,0.8743826288736672,0.8739046787525013,0.8591979776107169,0.865499316667064,0.8685845917631188,0.8751109008451635,0.8669477439286367,0.8680157565730542,0.8807301605002739,0.8613386694871062,0.8703810564582191,0.8523021772149134,0.8762646686607392,0.8663348098753919,0.8731533876721245,0.8723070663571928,0.8845312100934528,0.8605410724972704,0.8592727029075837,0.8872399914237236,0.842037960780703,0.8679310971140285,0.8691199513329446,0.8831329425595992,0.8743151592546142,0.8764661494792221,0.8729057600912241,0.879885519469624,0.8520831958301089,0.8733870917341071,0.8907653920336868,0.863534967081463,0.8800223794066175,0.8908237525514413,0.8804896733647131,0.8765886890494742,0.8639581231722279,0.8508957447454237,0.860964988903439,0.864622414449775,0.8872664991486908,0.8780404042721991,0.8499761925975924,0.8698575458312007,0.011683964956174289,1
0.5094872331619262,0.0048221069635247076,0.06214150905609131,0.0016871468698402437,SAMME,0.3,100,"{'algorithm': 'SAMME', 'learning_rate': 0.3, 'n_estimators': 100}",0.8837667456507527,0.879814678046678,0.8663429192777029,0.857419966890224,0.8550305045528903,0.8721282744020341,0.8471847730864568,0.8761999354419565,0.878251471511961,0.8549725997784089,0.869944968288128,0.8605654007924033,0.8700846577703909,0.8658113203847547,0.8747994167424926,0.8726060946129692,0.8611107755684936,0.8691966958639528,0.8570507857693994,0.8719584752386278,0.8637343437559637,0.8717378602247954,0.8712818802072584,0.8763538621428629,0.8537086632678486,0.8611216039160356,0.8836437580071701,0.8461465729174735,0.8707152149035213,0.8655912693290961,0.8726318720726698,0.8665889934416199,0.8788981394740274,0.8727862147767197,0.8674932963302064,0.8538054681685275,0.8724757457824479,0.880874402016146,0.8545759673074648,0.8838595085738851,0.8897227171794322,0.8728094996853369,0.8699289952694218,0.8579911222095705,0.8470605613543016,0.8587350573425511,0.8606312331326357,0.8835866476498732,0.8741250800751158,0.846202525089752,0.8674611707054882,0.01075753128549783,2
0.5090247106552124,0.004601785426925322,0.06334000587463379,0.0015533760695946518,SAMME,1,100,"{'algorithm': 'SAMME', 'learning_rate': 1, 'n_estimators': 100}",0.8785592566218553,0.8772628177761024,0.8497577211629147,0.86851947432144,0.8513757250096342,0.8612963885560947,0.8471956986859689,0.8757462250030761,0.8623355641019756,0.8604665539402593,0.8492747695319509,0.8554998148565983,0.8772893379180221,0.8616781770982236,0.8388076877145326,0.8587310376733731,0.8561860228973731,0.8629200682172686,0.8471522726369392,0.8695204666034855,0.8565508121071274,0.8765277638613761,0.8750831444021192,0.8551973285417702,0.8684183486522451,0.8745542977063767,0.868625672126303,0.8406506870799532,0.8641438326931218,0.8539756983029154,0.8820111266793861,0.8523871042043224,0.8544924545039133,0.8706925877731678,0.8490223807815702,0.8509427355514949,0.8570065287406956,0.874221726081247,0.8701579911448182,0.8682243776891514,0.8790319451021554,0.8665255798925635,0.8477125677118689,0.8628465176234515,0.834356802699346,0.8445500083340447,0.844571802022771,0.8671532124691808,0.8755569022580304,0.847284673994263,0.8608410338211567,0.011991707275864483,3
0.76559419631958,0.008322028782442268,0.07401584148406982,0.0020127888494397587,SAMME,1,150,"{'algorithm': 'SAMME', 'learning_rate': 1, 'n_estimators': 150}",0.8828748455531521,0.8729839183416083,0.8549197075092356,0.8636977160237652,0.8556276158393749,0.8550516095099276,0.8515624447344737,0.881751676502965,0.853433002411967,0.8582534697084097,0.8469693688296223,0.861987071595784,0.8848976662974569,0.8571139882798277,0.8547669780302729,0.867991732853691,0.8564477730145208,0.8655220268324709,0.8556304848428572,0.8640339524139319,0.86172303266217,0.8679068481718143,0.8663085336786361,0.8552873960588915,0.8583061829459739,0.8606090937769721,0.8737146808419853,0.8478162949625769,0.8546004749245294,0.8525199863911677,0.8819975533018218,0.8531154940946833,0.859708680593348,0.870584283188432,0.847603267088534,0.8654191205709207,0.8567898180339266,0.8682906640616861,0.8593976280811252,0.852544179176167,0.8767241928707099,0.8591400248804302,0.8460680000411132,0.8655153909564173,0.8319369578190825,0.8525258459021302,0.8389284000690194,0.8814424244241338,0.8702523589256838,0.8509345168353956,0.8606645674890959,0.011196694568192715,4
0.25539752960205075,0.0019151297244413032,0.05215651035308838,0.0013717060337024958,SAMME,1,50,"{'algorithm': 'SAMME', 'learning_rate': 1, 'n_estimators': 50}",0.8717160866702557,0.8790748077372862,0.8540247794778282,0.8618175006533928,0.8541650871271803,0.863107826137568,0.8342653411362131,0.8668885084415576,0.8539795725214869,0.862484893939512,0.8568582950578956,0.8265258813963468,0.8782928247941068,0.8541727762420689,0.8366717264520969,0.8605654660323954,0.8610877553216408,0.8587186053465745,0.8490606852269974,0.8718151976575409,0.8419404972998008,0.8664672118245276,0.8811929464030325,0.8481596016014451,0.8519227352262728,0.8544308717771135,0.8693970449082525,0.8352231010842438,0.8529540366204417,0.8453505481495209,0.86909276314666,0.8550747140943159,0.8696510971475916,0.8530241510877232,0.8453239278702351,0.8319446608060168,0.860084422360744,0.8665586799793894,0.8461799389660909,0.8615970430542566,0.8767285696422259,0.8711029125573209,0.8284732078812604,0.8472304832403035,0.8508385939733359,0.8344513892415352,0.8530422499727661,0.8697124296502496,0.8781056426506106,0.8369176333036324,0.8561493344578172,0.013934223854345118,5
0.762630844116211,0.005632325189319644,0.07425997257232667,0.002413237361372731,SAMME,0.1,150,"{'algorithm': 'SAMME', 'learning_rate': 0.1, 'n_estimators': 150}",0.8583603964480445,0.8595646833827764,0.8577977989536192,0.8376574943903458,0.8664996206213147,0.8615142871763612,0.8265725640409146,0.8701465221184549,0.859608109757342,0.8302511748025379,0.8609152545716362,0.8440294400725701,0.8511540842214913,0.8500578332926022,0.8549571869790672,0.8386073187001288,0.8254375823306679,0.8462989033264758,0.840644814841882,0.8576549593550744,0.857167313641278,0.8617349107371026,0.8541241128715773,0.8648890715033403,0.8289110551697645,0.8615592206006899,0.8644678801013921,0.8281948937988562,0.8581833982006312,0.850748200771836,0.8660934259830311,0.8331687216357042,0.8581514002528499,0.8509886981725202,0.8484500129478212,0.8391730352072077,0.8523515125028198,0.8610941756179185,0.8291806347621136,0.8728196573334881,0.874488813580996,0.8565628051870512,0.8618733661498725,0.8510561158456301,0.8508282443039041,0.8344873565122561,0.843047072327202,0.8620369413712754,0.8686188175328424,0.8418662496501466,0.8516809428731285,0.012924050952197078,6
0.2559878015518188,0.0029987297163058604,0.052026915550231936,0.0014534949476141177,SAMME,0.3,50,"{'algorithm': 'SAMME', 'learning_rate': 0.3, 'n_estimators': 50}",0.861176977074867,0.8533746128193178,0.8635876771505969,0.836490933702851,0.8534049985888884,0.8635401099615854,0.8332065840420092,0.8653281049953907,0.852482483842484,0.8220429457628382,0.8659002647404486,0.8418166006533491,0.8507915248374835,0.8630598838782525,0.8541676495316286,0.8408820809374675,0.8179462718549195,0.8602269606692636,0.8403365647503774,0.8523075494986677,0.8497300718781231,0.8661575980693981,0.8593983107852012,0.8656396816216844,0.8280627475839788,0.8558778604396995,0.8588323736494107,0.8294890977651211,0.8600071071013579,0.8585905706188652,0.8629903838461163,0.8454419118325975,0.8579190124960496,0.8542215974488498,0.846408855964476,0.8303470465282219,0.852704328867238,0.8361360269161224,0.8313627498062183,0.8695793412366195,0.8707018289246302,0.8515473254568856,0.8524013978187602,0.8391769879707865,0.8418231923852713,0.8213203317880589,0.8515432320608329,0.8679153301939322,0.8728543209344174,0.8413664320583798,0.8504323566668,0.013828472572841073,7
0.5094933223724365,0.005408027202136756,0.06326449394226075,0.0021620978886796095,SAMME,0.1,100,"{'algorithm': 'SAMME', 'learning_rate': 0.1, 'n_estimators': 100}",0.853003626640872,0.8578721024451751,0.8466015352254392,0.8377480934098506,0.8643300106236824,0.8551223151123102,0.8109406128841505,0.864237065610996,0.8510237890187388,0.8160672161429927,0.8444668402096298,0.8294088077801234,0.8546631199776265,0.8464356922965449,0.8402490679662793,0.8409504464482882,0.8150307937019012,0.8376248421629625,0.8274636562057903,0.8579922421518946,0.855052407119109,0.8652284945953871,0.8564728944426767,0.8429461916013561,0.8151244040695007,0.8628738153036577,0.8624862766629954,0.8068057795990751,0.8445229479134729,0.8494756251234429,0.8582969282285104,0.8262003209122174,0.8513801085047032,0.8472709238484822,0.8422968591366451,0.8324531114540049,0.8458342823259849,0.8528522092110207,0.8086787260469892,0.8687358677566066,0.8723645937208869,0.8566197959014161,0.8448379801976036,0.8366450011342819,0.8408278889489216,0.8251173849524156,0.8514691855561758,0.8336666883274078,0.8656499498727404,0.8296805316376804,0.8440619810024123,0.016403483062451006,8
0.7618367481231689,0.005782718551317323,0.07441923141479492,0.0024273491035028526,SAMME,0.05,150,"{'algorithm': 'SAMME', 'learning_rate': 0.05, 'n_estimators': 150}",0.8559911370145816,0.8507351375613347,0.8407947426795476,0.8235357818495125,0.8541924487256886,0.8492381630667656,0.824436314376842,0.8620345679670876,0.8289334277651584,0.7867283721189224,0.8430844764347769,0.8272316777153234,0.8498273548568781,0.8320651024485314,0.8329870930672469,0.8306894110576325,0.7852551190950983,0.835437094675674,0.8159212898267604,0.8727196053318411,0.8523901150046118,0.8561743200058022,0.8582018736756465,0.8442462902301112,0.8072525176562828,0.8557889586919903,0.8483694308842424,0.8055482755665859,0.8526842454246727,0.8121973947697343,0.8585965209870842,0.8033094843552244,0.8399724423279722,0.8292003507342193,0.8451020127310085,0.8340600776732228,0.8338115469920325,0.8242795365969335,0.8117105526521672,0.8562050066935152,0.8495741917013758,0.8467704199816036,0.8470367830553137,0.8260192058514605,0.8272972678094164,0.8138569604683564,0.8469707326058994,0.8118332683674707,0.8641830841724655,0.8154378164519811,0.8355983800350723,0.019767450199545955,9
0.8353937005996704,0.008276768566122339,0.09846814632415772,0.0021347946204682633,SAMME.R,0.1,150,"{'algorithm': 'SAMME.R', 'learning_rate': 0.1, 'n_estimators': 150}",0.7842056800050246,0.8319584464267905,0.8335482210975785,0.8124634990474139,0.8181908321157976,0.8142430312357224,0.8228257773325414,0.814761182896303,0.8228723612901526,0.7918663684437953,0.8205651746173152,0.8257788537262433,0.8255403023922839,0.7864331460752569,0.8061307855043527,0.821781313368773,0.8170507774288983,0.8082443967401538,0.7680069031387248,0.8290474969660402,0.813611025872323,0.8399982056923992,0.8358414151047986,0.8078327252432088,0.8038330560517505,0.8322743722439118,0.8171244874121322,0.7733009466992901,0.8264909853045898,0.8266385785567396,0.8064978060531367,0.8040281463005796,0.8147135183605788,0.8408672210659832,0.8020767210389197,0.7803384489547505,0.8225622842916,0.8244253694365968,0.7822413472463388,0.8172037153027465,0.8022369753448695,0.8161248230866349,0.7992495816086382,0.8156074917199079,0.7847895875112264,0.8282622787115033,0.8067109887098967,0.8001449121492268,0.7973824139240716,0.8169742743980538,0.8118979650649113,0.01704965582505899,10
