mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_C,param_decision_function_shape,param_gamma,param_kernel,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,split5_test_score,split6_test_score,split7_test_score,split8_test_score,split9_test_score,split10_test_score,split11_test_score,split12_test_score,split13_test_score,split14_test_score,split15_test_score,split16_test_score,split17_test_score,split18_test_score,split19_test_score,split20_test_score,split21_test_score,split22_test_score,split23_test_score,split24_test_score,split25_test_score,split26_test_score,split27_test_score,split28_test_score,split29_test_score,split30_test_score,split31_test_score,split32_test_score,split33_test_score,split34_test_score,split35_test_score,split36_test_score,split37_test_score,split38_test_score,split39_test_score,split40_test_score,split41_test_score,split42_test_score,split43_test_score,split44_test_score,split45_test_score,split46_test_score,split47_test_score,split48_test_score,split49_test_score,mean_test_score,std_test_score,rank_test_score
0.0719117784500122,0.0016316015151604725,0.013663244247436524,0.000272330442784906,10,ovo,scale,rbf,"{'C': 10, 'decision_function_shape': 'ovo', 'gamma': 'scale', 'kernel': 'rbf'}",0.7610294117647058,0.7352941176470589,0.7867647058823529,0.7527675276752768,0.8044280442804428,0.7573529411764706,0.7720588235294118,0.7794117647058824,0.7601476014760148,0.7859778597785978,0.7941176470588235,0.7757352941176471,0.7389705882352942,0.7195571955719557,0.7638376383763837,0.7205882352941176,0.8051470588235294,0.7794117647058824,0.7638376383763837,0.7269372693726938,0.8198529411764706,0.7573529411764706,0.7647058823529411,0.7675276752767528,0.7675276752767528,0.75,0.7941176470588235,0.7463235294117647,0.7822878228782287,0.7638376383763837,0.7794117647058824,0.7941176470588235,0.7536764705882353,0.7859778597785978,0.7232472324723247,0.8198529411764706,0.7205882352941176,0.7720588235294118,0.7712177121771218,0.7416974169741697,0.7904411764705882,0.7573529411764706,0.7683823529411765,0.7269372693726938,0.7896678966789668,0.7941176470588235,0.7132352941176471,0.7536764705882353,0.7859778597785978,0.7527675276752768,0.7658261884089428,0.025912294436229992,1
0.07189959526062012,0.001503393698570922,0.013682537078857422,0.0002198865832661494,10,ovr,scale,rbf,"{'C': 10, 'decision_function_shape': 'ovr', 'gamma': 'scale', 'kernel': 'rbf'}",0.7610294117647058,0.7352941176470589,0.7867647058823529,0.7527675276752768,0.8044280442804428,0.7573529411764706,0.7720588235294118,0.7794117647058824,0.7601476014760148,0.7859778597785978,0.7941176470588235,0.7757352941176471,0.7389705882352942,0.7195571955719557,0.7638376383763837,0.7205882352941176,0.8051470588235294,0.7794117647058824,0.7638376383763837,0.7269372693726938,0.8198529411764706,0.7573529411764706,0.7647058823529411,0.7675276752767528,0.7675276752767528,0.75,0.7941176470588235,0.7463235294117647,0.7822878228782287,0.7638376383763837,0.7794117647058824,0.7941176470588235,0.7536764705882353,0.7859778597785978,0.7232472324723247,0.8198529411764706,0.7205882352941176,0.7720588235294118,0.7712177121771218,0.7416974169741697,0.7904411764705882,0.7573529411764706,0.7683823529411765,0.7269372693726938,0.7896678966789668,0.7941176470588235,0.7132352941176471,0.7536764705882353,0.7859778597785978,0.7527675276752768,0.7658261884089428,0.025912294436229992,1
0.07171257495880128,0.0016105586135002038,0.01369969367980957,0.0001866483868037903,10,ovo,auto,rbf,"{'C': 10, 'decision_function_shape': 'ovo', 'gamma': 'auto', 'kernel': 'rbf'}",0.7610294117647058,0.7389705882352942,0.7867647058823529,0.7490774907749077,0.8191881918819188,0.7573529411764706,0.7757352941176471,0.7794117647058824,0.7601476014760148,0.7896678966789668,0.7941176470588235,0.7794117647058824,0.7389705882352942,0.7306273062730627,0.7675276752767528,0.7205882352941176,0.8088235294117647,0.7830882352941176,0.7638376383763837,0.7232472324723247,0.8198529411764706,0.7536764705882353,0.7647058823529411,0.7638376383763837,0.7675276752767528,0.7463235294117647,0.7941176470588235,0.75,0.7859778597785978,0.7527675276752768,0.7757352941176471,0.7904411764705882,0.7536764705882353,0.7859778597785978,0.7232472324723247,0.8198529411764706,0.7169117647058824,0.7720588235294118,0.7712177121771218,0.7416974169741697,0.7904411764705882,0.7573529411764706,0.7647058823529411,0.7306273062730627,0.7822878228782287,0.7977941176470589,0.7058823529411765,0.7536764705882353,0.7859778597785978,0.7416974169741697,0.7657526589971781,0.026936474398028706,3
0.07143982410430909,0.001679743572162085,0.013665971755981445,0.00021733052638623298,10,ovr,auto,rbf,"{'C': 10, 'decision_function_shape': 'ovr', 'gamma': 'auto', 'kernel': 'rbf'}",0.7610294117647058,0.7389705882352942,0.7867647058823529,0.7490774907749077,0.8191881918819188,0.7573529411764706,0.7757352941176471,0.7794117647058824,0.7601476014760148,0.7896678966789668,0.7941176470588235,0.7794117647058824,0.7389705882352942,0.7306273062730627,0.7675276752767528,0.7205882352941176,0.8088235294117647,0.7830882352941176,0.7638376383763837,0.7232472324723247,0.8198529411764706,0.7536764705882353,0.7647058823529411,0.7638376383763837,0.7675276752767528,0.7463235294117647,0.7941176470588235,0.75,0.7859778597785978,0.7527675276752768,0.7757352941176471,0.7904411764705882,0.7536764705882353,0.7859778597785978,0.7232472324723247,0.8198529411764706,0.7169117647058824,0.7720588235294118,0.7712177121771218,0.7416974169741697,0.7904411764705882,0.7573529411764706,0.7647058823529411,0.7306273062730627,0.7822878228782287,0.7977941176470589,0.7058823529411765,0.7536764705882353,0.7859778597785978,0.7416974169741697,0.7657526589971781,0.026936474398028706,3
0.09830307006835938,0.0016294323495585712,0.015427751541137695,0.00021168402722747772,10,ovo,0.1,rbf,"{'C': 10, 'decision_function_shape': 'ovo', 'gamma': 0.1, 'kernel': 'rbf'}",0.7683823529411765,0.7536764705882353,0.7536764705882353,0.7453874538745388,0.7712177121771218,0.7352941176470589,0.7683823529411765,0.7830882352941176,0.7527675276752768,0.7896678966789668,0.7647058823529411,0.7941176470588235,0.7794117647058824,0.7195571955719557,0.7749077490774908,0.7242647058823529,0.7794117647058824,0.7757352941176471,0.7675276752767528,0.7601476014760148,0.7867647058823529,0.7463235294117647,0.7683823529411765,0.7343173431734318,0.7785977859778598,0.7169117647058824,0.7794117647058824,0.75,0.7749077490774908,0.7785977859778598,0.7683823529411765,0.7941176470588235,0.7720588235294118,0.7859778597785978,0.7121771217712177,0.7867647058823529,0.7279411764705882,0.8014705882352942,0.7822878228782287,0.7343173431734318,0.7867647058823529,0.7683823529411765,0.7610294117647058,0.7527675276752768,0.7859778597785978,0.7794117647058824,0.7169117647058824,0.7720588235294118,0.7859778597785978,0.7158671586715867,0.7633237464727588,0.02358860679424657,5
0.09816728115081787,0.0017802312326385334,0.015402588844299316,0.00023030838365678248,10,ovr,0.1,rbf,"{'C': 10, 'decision_function_shape': 'ovr', 'gamma': 0.1, 'kernel': 'rbf'}",0.7683823529411765,0.7536764705882353,0.7536764705882353,0.7453874538745388,0.7712177121771218,0.7352941176470589,0.7683823529411765,0.7830882352941176,0.7527675276752768,0.7896678966789668,0.7647058823529411,0.7941176470588235,0.7794117647058824,0.7195571955719557,0.7749077490774908,0.7242647058823529,0.7794117647058824,0.7757352941176471,0.7675276752767528,0.7601476014760148,0.7867647058823529,0.7463235294117647,0.7683823529411765,0.7343173431734318,0.7785977859778598,0.7169117647058824,0.7794117647058824,0.75,0.7749077490774908,0.7785977859778598,0.7683823529411765,0.7941176470588235,0.7720588235294118,0.7859778597785978,0.7121771217712177,0.7867647058823529,0.7279411764705882,0.8014705882352942,0.7822878228782287,0.7343173431734318,0.7867647058823529,0.7683823529411765,0.7610294117647058,0.7527675276752768,0.7859778597785978,0.7794117647058824,0.7169117647058824,0.7720588235294118,0.7859778597785978,0.7158671586715867,0.7633237464727588,0.02358860679424657,5
0.0919230318069458,0.0012048135216854998,0.016098408699035643,0.00015109427824245273,1,ovo,0.1,rbf,"{'C': 1, 'decision_function_shape': 'ovo', 'gamma': 0.1, 'kernel': 'rbf'}",0.7647058823529411,0.7463235294117647,0.7316176470588235,0.7527675276752768,0.8007380073800738,0.7389705882352942,0.7573529411764706,0.7720588235294118,0.7343173431734318,0.7859778597785978,0.7904411764705882,0.7794117647058824,0.7352941176470589,0.7638376383763837,0.7675276752767528,0.7316176470588235,0.7794117647058824,0.7647058823529411,0.7675276752767528,0.7232472324723247,0.8419117647058824,0.7316176470588235,0.7647058823529411,0.7453874538745388,0.7564575645756457,0.7316176470588235,0.7867647058823529,0.7573529411764706,0.7564575645756457,0.7638376383763837,0.7647058823529411,0.7867647058823529,0.7536764705882353,0.7822878228782287,0.7269372693726938,0.7904411764705882,0.7316176470588235,0.7683823529411765,0.7785977859778598,0.7601476014760148,0.7683823529411765,0.7720588235294118,0.7536764705882353,0.7601476014760148,0.7933579335793358,0.7904411764705882,0.7169117647058824,0.7463235294117647,0.7896678966789668,0.7380073800738007,0.7619299435641416,0.023918860741804077,7
0.09194504261016846,0.0012013952959695194,0.01607459545135498,0.00023036013876419538,1,ovr,0.1,rbf,"{'C': 1, 'decision_function_shape': 'ovr', 'gamma': 0.1, 'kernel': 'rbf'}",0.7647058823529411,0.7463235294117647,0.7316176470588235,0.7527675276752768,0.8007380073800738,0.7389705882352942,0.7573529411764706,0.7720588235294118,0.7343173431734318,0.7859778597785978,0.7904411764705882,0.7794117647058824,0.7352941176470589,0.7638376383763837,0.7675276752767528,0.7316176470588235,0.7794117647058824,0.7647058823529411,0.7675276752767528,0.7232472324723247,0.8419117647058824,0.7316176470588235,0.7647058823529411,0.7453874538745388,0.7564575645756457,0.7316176470588235,0.7867647058823529,0.7573529411764706,0.7564575645756457,0.7638376383763837,0.7647058823529411,0.7867647058823529,0.7536764705882353,0.7822878228782287,0.7269372693726938,0.7904411764705882,0.7316176470588235,0.7683823529411765,0.7785977859778598,0.7601476014760148,0.7683823529411765,0.7720588235294118,0.7536764705882353,0.7601476014760148,0.7933579335793358,0.7904411764705882,0.7169117647058824,0.7463235294117647,0.7896678966789668,0.7380073800738007,0.7619299435641416,0.023918860741804077,7
0.09795762538909912,0.0037035848982876793,0.012463116645812988,0.00026757862014534624,100,ovr,0.01,rbf,"{'C': 100, 'decision_function_shape': 'ovr', 'gamma': 0.01, 'kernel': 'rbf'}",0.7463235294117647,0.7279411764705882,0.75,0.7490774907749077,0.7896678966789668,0.7389705882352942,0.7426470588235294,0.7794117647058824,0.7601476014760148,0.7638376383763837,0.7683823529411765,0.7610294117647058,0.7389705882352942,0.6974169741697417,0.7749077490774908,0.7169117647058824,0.7904411764705882,0.7683823529411765,0.7712177121771218,0.7232472324723247,0.7977941176470589,0.7426470588235294,0.7316176470588235,0.7859778597785978,0.7638376383763837,0.7426470588235294,0.7683823529411765,0.75,0.7749077490774908,0.7416974169741697,0.7757352941176471,0.7977941176470589,0.7536764705882353,0.7933579335793358,0.6974169741697417,0.8051470588235294,0.7058823529411765,0.7720588235294118,0.7601476014760148,0.7453874538745388,0.7757352941176471,0.7647058823529411,0.7536764705882353,0.7121771217712177,0.7749077490774908,0.7941176470588235,0.7058823529411765,0.7536764705882353,0.7896678966789668,0.7380073800738007,0.7565519861080965,0.027010186078313122,9
0.09828248500823974,0.003647665347118986,0.012502198219299316,0.0002753982718134131,100,ovo,0.01,rbf,"{'C': 100, 'decision_function_shape': 'ovo', 'gamma': 0.01, 'kernel': 'rbf'}",0.7463235294117647,0.7279411764705882,0.75,0.7490774907749077,0.7896678966789668,0.7389705882352942,0.7426470588235294,0.7794117647058824,0.7601476014760148,0.7638376383763837,0.7683823529411765,0.7610294117647058,0.7389705882352942,0.6974169741697417,0.7749077490774908,0.7169117647058824,0.7904411764705882,0.7683823529411765,0.7712177121771218,0.7232472324723247,0.7977941176470589,0.7426470588235294,0.7316176470588235,0.7859778597785978,0.7638376383763837,0.7426470588235294,0.7683823529411765,0.75,0.7749077490774908,0.7416974169741697,0.7757352941176471,0.7977941176470589,0.7536764705882353,0.7933579335793358,0.6974169741697417,0.8051470588235294,0.7058823529411765,0.7720588235294118,0.7601476014760148,0.7453874538745388,0.7757352941176471,0.7647058823529411,0.7536764705882353,0.7121771217712177,0.7749077490774908,0.7941176470588235,0.7058823529411765,0.7536764705882353,0.7896678966789668,0.7380073800738007,0.7565519861080965,0.027010186078313122,9
