mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_criterion,param_learning_rate,param_loss,param_max_depth,param_max_features,param_n_estimators,param_subsample,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,split5_test_score,split6_test_score,split7_test_score,split8_test_score,split9_test_score,split10_test_score,split11_test_score,split12_test_score,split13_test_score,split14_test_score,split15_test_score,split16_test_score,split17_test_score,split18_test_score,split19_test_score,split20_test_score,split21_test_score,split22_test_score,split23_test_score,split24_test_score,split25_test_score,split26_test_score,split27_test_score,split28_test_score,split29_test_score,split30_test_score,split31_test_score,split32_test_score,split33_test_score,split34_test_score,split35_test_score,split36_test_score,split37_test_score,split38_test_score,split39_test_score,split40_test_score,split41_test_score,split42_test_score,split43_test_score,split44_test_score,split45_test_score,split46_test_score,split47_test_score,split48_test_score,split49_test_score,mean_test_score,std_test_score,rank_test_score
0.8920917177200317,0.012872377058870546,0.043452396392822265,0.00034931365703971985,friedman_mse,0.1,deviance,8,sqrt,10,0.95,"{'criterion': 'friedman_mse', 'learning_rate': 0.1, 'loss': 'deviance', 'max_depth': 8, 'max_features': 'sqrt', 'n_estimators': 10, 'subsample': 0.95}",0.9430353071143066,0.95303917849741,0.9489110370913916,0.9293111518358531,0.9309922577303832,0.9284768786171186,0.9319939389137243,0.9515487197504345,0.9379891435374995,0.9447013837966362,0.9359257127141918,0.9183850289301744,0.9583008157904954,0.9369985103626942,0.9274330478592298,0.9440252714181376,0.9399317641071453,0.9406509535712314,0.9473248307333774,0.9285531438013268,0.9291686830845803,0.9541350167166619,0.9283082674773682,0.9472064836359676,0.9487757942090148,0.9566989747540768,0.9422872967753436,0.9368711131772852,0.9474247606897986,0.9340508080734172,0.9265676079077149,0.9399540041200202,0.9596940863382616,0.9315306488484122,0.9419644253099504,0.9605869928750637,0.9430175485299642,0.9328599086071092,0.9588976697246484,0.921993243606992,0.9410403077516323,0.9295339699776574,0.9360950298565665,0.9413420717216082,0.9303861651028041,0.9369086347438764,0.9387117714737049,0.9349074370690271,0.9571483788546854,0.9376100031206095,0.9400641036061316,0.010325249760083676,1
0.3832949113845825,0.003940806866530451,0.0432356595993042,0.00042544091939558036,friedman_mse,0.2,deviance,5,sqrt,10,1.0,"{'criterion': 'friedman_mse', 'learning_rate': 0.2, 'loss': 'deviance', 'max_depth': 5, 'max_features': 'sqrt', 'n_estimators': 10, 'subsample': 1.0}",0.9486124148980185,0.948525090967849,0.952627626994528,0.935285911683268,0.9345187599253083,0.9298664882482132,0.9375097748579764,0.9590396013901282,0.9428808736657199,0.9501131691874445,0.9398094898169772,0.938280377500912,0.9588036539351363,0.9356489623466667,0.9403041101006132,0.9485654472791348,0.9348612702360395,0.924117353068306,0.9433516694266229,0.9249768977253464,0.9390892133436769,0.9433874851757947,0.9230446077084841,0.9535564902064156,0.940299064500946,0.9570027794304479,0.9362470284523167,0.9346742201917716,0.9337168948210156,0.936759281410377,0.9377890610559706,0.934616928409409,0.9540734359813318,0.9378792611610192,0.9420027145104052,0.9529009971544004,0.9452535633602577,0.9304945136780608,0.9444859266859988,0.9300902933841372,0.9381747432684161,0.940561882018433,0.9374693793713428,0.9415205639830507,0.9345405990934722,0.9256502720144115,0.9269878027147532,0.9390153448876367,0.9584899980984231,0.9203880684428367,0.9399572271553844,0.009548003290618468,2
0.9088106584548951,0.0193809224837408,0.04301137447357178,0.002609276518855384,friedman_mse,0.1,deviance,8,sqrt,10,1.0,"{'criterion': 'friedman_mse', 'learning_rate': 0.1, 'loss': 'deviance', 'max_depth': 8, 'max_features': 'sqrt', 'n_estimators': 10, 'subsample': 1.0}",0.9416163050844709,0.9500838494649301,0.9528123952651147,0.9357712611800636,0.9263757007338835,0.9320245959282946,0.9356516920758117,0.9493979297065435,0.9383563897259485,0.9528670220617185,0.9368005338930008,0.9318786218849313,0.946762490755977,0.9405476902179184,0.938281840822696,0.9447923395576509,0.9459998285451054,0.9438294437284145,0.9392624932935357,0.9254669712892888,0.9352007610382808,0.9515079322732641,0.9295262621130972,0.9554905054928703,0.9446170106985669,0.9570960745134508,0.9421298345278917,0.9330499423075153,0.9364206944397856,0.9309685454517574,0.9316844395783287,0.9409919348062855,0.9595869791270428,0.9366962200545993,0.9419575152033736,0.9553260754699623,0.9393888189288316,0.9190029021250705,0.9541555258168691,0.9196467743038429,0.9384694444447668,0.9355417160239982,0.9502162716950494,0.9320625703825569,0.9423566654981347,0.9273675960088607,0.9239359623243604,0.9335068526720994,0.9502614109117605,0.9405285821913326,0.939945424312778,0.009702796986806662,3
0.7346486902236938,0.01276021854376948,0.03776499271392822,0.0003892327031728398,friedman_mse,0.1,deviance,8,sqrt,10,0.85,"{'criterion': 'friedman_mse', 'learning_rate': 0.1, 'loss': 'deviance', 'max_depth': 8, 'max_features': 'sqrt', 'n_estimators': 10, 'subsample': 0.85}",0.9415830187477817,0.9507207960013201,0.9499617168901021,0.9381665152794746,0.9252177209680942,0.9251170816018682,0.9342415573953423,0.94652181946122,0.9329666631238114,0.9542061034517362,0.9261666314957827,0.914262030845994,0.9484329185003291,0.9390723648302113,0.9322470357393792,0.9520423237452934,0.9528206454368675,0.9444351176911147,0.946250800418387,0.9381714829772233,0.9247333177194085,0.9452281151021372,0.9194271356191582,0.9535677713509747,0.9526483071207901,0.9553629715140025,0.944466681887114,0.9343104094430598,0.9393551655827065,0.9395359563581689,0.941891103509334,0.9340024963665732,0.9576367839666045,0.9351104617865751,0.9211005470233847,0.9501258984649921,0.9368050962994955,0.9271231638816406,0.9586236551238457,0.9255324800286591,0.9481169335395684,0.9290135106201917,0.9356741346464151,0.9389639315277583,0.9358363276280263,0.9355113228214926,0.9358513261200702,0.9406416778215579,0.9620990938698317,0.9317986537778636,0.9396539755024547,0.010989639247779633,4
0.3621288824081421,0.038713613455559834,0.041301512718200685,0.005037101939974568,friedman_mse,0.1,deviance,5,sqrt,10,0.95,"{'criterion': 'friedman_mse', 'learning_rate': 0.1, 'loss': 'deviance', 'max_depth': 5, 'max_features': 'sqrt', 'n_estimators': 10, 'subsample': 0.95}",0.9429467229925792,0.9516045767475108,0.9511408101012174,0.9363964486834391,0.9434004398937295,0.9261035802196745,0.9335683137608298,0.9493810682296367,0.9377853860057593,0.9509229877118526,0.9330515003472492,0.9235616920263668,0.9527654592651937,0.9265478782559632,0.9474975566961817,0.9467795657125868,0.9396251347473018,0.9384409800726955,0.9411727813437981,0.9298873971444118,0.9275159335898974,0.9468121603232401,0.9298951692083164,0.950964868581554,0.9418134042894867,0.956007275841842,0.9419068929503164,0.9361373345422771,0.9348716469373027,0.927199570959511,0.9412238292238477,0.9304390717556809,0.9603108631896125,0.935774725498716,0.9353069599444913,0.9496770771090387,0.939138749803932,0.9325911588759025,0.951790105634791,0.9231829653507598,0.9417711611337712,0.9347795347545292,0.9422918265218171,0.9342204440326798,0.9374242582844489,0.9395874805197318,0.9303901877798428,0.9435766972921202,0.9510350841172714,0.9244897237604731,0.9394941288353036,0.009109657044033343,5
0.8301723861694336,0.07008861241259016,0.04179563999176025,0.0038402551493371194,friedman_mse,0.1,deviance,8,sqrt,10,0.9,"{'criterion': 'friedman_mse', 'learning_rate': 0.1, 'loss': 'deviance', 'max_depth': 8, 'max_features': 'sqrt', 'n_estimators': 10, 'subsample': 0.9}",0.9458671104371627,0.9408329943582322,0.9461361886384009,0.9340101347956989,0.9298113843563761,0.9310215540458978,0.9362940126967754,0.9487056439581639,0.9376750545084716,0.9528463729304386,0.9401302723697643,0.927165432116167,0.9557198164372877,0.9357116549148591,0.9435001927906609,0.9511864442067068,0.9390501356168334,0.9436902795882737,0.9364875837774211,0.9360935111110623,0.9220613575431784,0.9536528174858104,0.9265325192057192,0.9536128213425644,0.9454469470344126,0.9454927220415025,0.9332183006839335,0.9363547154490158,0.9242847257193844,0.9324555874615665,0.9186348942600465,0.9291814718081942,0.9606416395696411,0.9345267048545035,0.9455277740552268,0.950167434237459,0.945146360457803,0.9382206793718378,0.9589983893109935,0.9343950733193594,0.9395644386992137,0.9371859586090321,0.9318304696784397,0.9332039782075419,0.9299160011281785,0.9383221374565455,0.9321447882572397,0.9338242072343129,0.9599488713107188,0.9317364650806388,0.9393633204905734,0.009815802738896437,6
0.8723723745346069,0.012112373189954003,0.043689308166503904,0.0003119648083036263,friedman_mse,0.1,deviance,8,log2,10,0.95,"{'criterion': 'friedman_mse', 'learning_rate': 0.1, 'loss': 'deviance', 'max_depth': 8, 'max_features': 'log2', 'n_estimators': 10, 'subsample': 0.95}",0.9461294257837568,0.9472498843997493,0.9451815000244991,0.9343064738878168,0.9228287367066071,0.9275296318230423,0.9352630176506688,0.9488088294280695,0.9372165335884305,0.9576873554857697,0.9360000743694751,0.9349444115880264,0.954701248123223,0.9275811752439211,0.9295054119058,0.9462352017024802,0.9486225557716423,0.9481524218808222,0.95041449367922,0.9248465133549525,0.9208473533014875,0.947602909911868,0.9160113278650495,0.9490707091926313,0.9481912001620293,0.9525654353793594,0.9404220853693674,0.9376866739206529,0.9252308120915601,0.9286547097858159,0.9350112736807493,0.9425821831187019,0.9584078196585549,0.9386734986227879,0.9299942827900799,0.9481946244226019,0.9407641588854041,0.9271488265678757,0.954337366493693,0.9250199626647521,0.9486354445107991,0.9257493663086588,0.9393885403158934,0.9424689546484468,0.9379580535256182,0.9475105603350693,0.9304097093238027,0.942950255451731,0.9512997098539904,0.9272676355193908,0.9392652068015279,0.010548208601202619,7
0.8794176721572876,0.019186911251650653,0.0432351016998291,0.0015944889423471934,friedman_mse,0.1,deviance,8,log2,10,1.0,"{'criterion': 'friedman_mse', 'learning_rate': 0.1, 'loss': 'deviance', 'max_depth': 8, 'max_features': 'log2', 'n_estimators': 10, 'subsample': 1.0}",0.9424229504809865,0.9538429787066685,0.9527909231554684,0.9402061935012554,0.9136948697782167,0.9259451325935322,0.9356648617799691,0.9475967264492434,0.9374069680115035,0.9554483142156104,0.9341951449705155,0.9260225856365666,0.9608409911988424,0.9358908088645062,0.9411522325686522,0.9446005967564562,0.9438618743360774,0.9399134965304977,0.9377799057643581,0.9300437702610425,0.9388495495613403,0.9494329437776496,0.9229026019074857,0.9611410754939035,0.9489835525463515,0.9455253270471191,0.9471532235065133,0.9248783364283265,0.9327613697251668,0.9400710723051966,0.9269951497300258,0.9442357928564863,0.9414298866540897,0.9400556551108658,0.9375730656876645,0.9547219932360428,0.9436047429951359,0.9208826400926501,0.9536578901748157,0.9265674020960509,0.9502674700980495,0.9370832385785964,0.9416350765638053,0.9402810361354988,0.930097943678953,0.9309007221721531,0.9280507220576536,0.9273334860039651,0.9496386113625287,0.9205334244078718,0.9391313265510384,0.01082533201620595,8
0.3842978668212891,0.01212090462106889,0.04287325382232666,0.001204759049141919,friedman_mse,0.1,deviance,5,sqrt,10,1.0,"{'criterion': 'friedman_mse', 'learning_rate': 0.1, 'loss': 'deviance', 'max_depth': 5, 'max_features': 'sqrt', 'n_estimators': 10, 'subsample': 1.0}",0.9484201109475056,0.9449372931299758,0.9401963589627945,0.9374486909171584,0.9411196386774323,0.9185091951085362,0.933479012457727,0.9467187898710732,0.94758649783618,0.951073231019664,0.9445919189244324,0.9185482754104662,0.9518717131185794,0.9326124437947363,0.944147030266389,0.952472331785895,0.946859762939272,0.9365919510243589,0.9457680521352381,0.9200936011631914,0.935887185985932,0.9468762197720889,0.9337726939073305,0.9549907010215984,0.9386624645188698,0.9571142687048736,0.9372568159285578,0.9303120306898155,0.9346618127506328,0.9263461910747717,0.9258244601419858,0.9344190149659412,0.961325165047953,0.9339994315455925,0.9345548480301171,0.9528671248463171,0.9405118405992065,0.9275770278010244,0.9539814565875737,0.9291943092337642,0.9375448223959494,0.9274617934816068,0.9279776649566845,0.9401761636620222,0.9270832228604915,0.9405979125017315,0.9316920621397164,0.9317585248172825,0.955733533973802,0.933295426284089,0.9389300417943585,0.010335675892658236,9
0.35502426624298095,0.003974528978477857,0.0433176851272583,0.0007156658367204357,friedman_mse,0.1,deviance,5,log2,10,0.95,"{'criterion': 'friedman_mse', 'learning_rate': 0.1, 'loss': 'deviance', 'max_depth': 5, 'max_features': 'log2', 'n_estimators': 10, 'subsample': 0.95}",0.9450577454046049,0.9456544206866443,0.94626731006527,0.9409569756533597,0.9180037815593082,0.9232230719643956,0.9314650194646434,0.9528272564938515,0.9407009031991627,0.955995903414962,0.939060500059826,0.9306638745280642,0.9484275644241064,0.931356726450434,0.9432268516345417,0.9473618383012009,0.9382108508018295,0.9370228988452256,0.9348954439014171,0.9268242876053548,0.9272943251996321,0.9402695811303655,0.9295347260416795,0.9534190431321318,0.9435456075904214,0.9543628217288255,0.946223847167677,0.9282450318832333,0.9367113480146854,0.9346846833484652,0.9348288737800082,0.9363234404708027,0.9539286442747107,0.9301203403092977,0.940662225571161,0.955147590630982,0.9503798094931879,0.9217766453959201,0.9490788974067638,0.9214296453780887,0.9435940615946908,0.9377994640060628,0.9413518942528368,0.9370997108577815,0.9403499889267032,0.9330829701901014,0.9299831290990487,0.9362157194054338,0.9504640641151164,0.9288297858132664,0.9388788228133457,0.00953285007910498,10
